,name,rating,distance
858,Cafe Luise,3.5,463.80036214562136
859,InsideAsia,4.0,512.6923465848381
860,Canito,4.5,437.33531586468945
861,Fleischerei Zeymer,4.5,404.16813424088224
862,Fleischerei,4.5,418.6521495083921
863,Happy Sushi,4.0,430.11053679755906
864,Arena Döner und Pizza,4.0,459.0196566525198
865,Kafič,3.5,561.407948894952
866,Ristorante Pizzeria Roma,3.0,441.57096599986727
867,Paradiso Pizza,1.5,237.4599550256726
868,Gonzales,3.0,441.57167737910225
869,Lübberts,5.0,453.7370513104015
870,Trattoria angelino,3.5,486.56980983481856
871,Augustiner am Markt,4.5,53.47616441283954
872,Auerbachs Keller,4.0,140.407514122927
873,Imperii,5.0,338.4177041004939
874,Kildare City Pub,4.5,61.63828181934647
875,Rizzi,4.0,34.993138825446735
876,Ratskeller Leipzig,4.0,481.78946534922414
877,Romanushof,4.0,218.96888666731306
878,Café Madrid,4.0,175.46907586417353
879,Handbrotzeit,4.5,220.4938093773642
880,Restaurant Steaktrain,4.0,355.42260981230976
881,Phô Viêt,4.0,154.81335935267268
882,Telegraph Café Restaurant,4.0,255.34097765334596
883,Reinhardts im Gasthaus Alte Nikolaischule,4.5,221.1956227429808
884,Max Enk,5.0,324.0814667230837
885,Il Corso,4.5,363.5206608650107
886,Dhillons,3.5,155.96050929174987
887,Brasserie Le Grand,4.5,73.13879964665965
888,Weinwirtschaft,4.0,289.19792464016984
889,Zill's Tunnel,3.5,136.59193143401103
890,Pilot,4.0,381.90118617203007
891,Indian Crown,4.5,149.57995651271077
892,Restaurant Weinstock,4.0,74.62748641201632
893,Valentino,4.0,340.5083625094203
894,Alex,3.5,88.90568296306192
895,Milchbar Pinguin,4.0,75.91802569516481
896,Soup & Nem,4.0,215.4338882419087
897,Fürst,4.0,154.22877591636993
898,Hoshi,4.5,381.19800211206996
899,Spizz,3.0,72.51016770154182
900,Luigi's,4.5,205.6515044466714
901,Umaii,3.5,165.58303597825613
902,Wenzel Leipzig,3.5,186.41768954130967
903,Lukas Bäckerei,4.0,248.19472372924994
904,Burgermeister,4.0,303.7068878695218
905,Café Central,4.0,147.50654366175544
906,Café Gloria,5.0,299.6401970082212
907,Micello‘s,4.0,205.6515044466714
908,Pepper House,3.0,123.82235186197168
909,Hans im Glück,4.0,420.9224561468297
910,Sakura,4.5,458.6933308201467
911,Enchilada,3.5,334.5929996730022
912,Steinecke,4.5,215.94745700750315
913,Pizza Pasta House,4.0,74.35085338174552
914,Asia Bistro und Supermarkt,4.5,111.1388392274412
915,Indian Fingerfoods,5.0,203.64503220006378
916,Andria,3.5,235.56073104501274
917,maza pita,5.0,334.20309440949524
918,Brauhaus an der Thomaskirche,3.0,207.0251892643433
919,Schnitzel Culture,3.0,225.1015110077418
920,Pizzeria by Toni,5.0,350.0300793315949
921,Yoko Sushi,3.5,418.27102500374417
922,Shams,4.0,318.2974424368471
923,Asia Bistro Mr.Wok,1.5,345.62856083980444
924,Asia Imbiss Asiatische Spezialität,5.0,429.1553717922964
925,Schenkendorfer Eck,4.0,525.2216031540615
926,Bittus Pizza Express,5.0,531.8567217574912
927,Biergarten mit Ginkobaum,4.0,85.58329868087121
928,Gaststätte Parkschlößchen,5.0,261.5597139511374
929,Schaarschmidt's,4.5,504.00735863716784
930,Biergarten mit Ginkobaum,4.0,106.5299553066233
931,Hacienda Mexicana Leipzig,3.5,459.736533379214
932,Mykonos,3.5,363.40435284317317
933,Pizzeria Punjab,4.0,469.3130884167673
934,Fly Pizza,3.0,504.72696436251687
935,Reudnitzgrill,5.0,74.48757339696616
936,Bistro Dubai,5.0,154.01664896610527
937,Restaurant Asia Garden,4.0,170.47410072180577
938,Kulturcafé Knicklicht,5.0,274.24710839033844
939,Substanz,4.0,298.84296708956157
940,Zu Spät,4.0,346.59465254797794
941,Chizenga Afrikanisches Haus,5.0,465.847854302844
942,Hong Kong,4.0,526.5251678522349
943,Bistro Ari,5.0,156.55128141891632
944,Bistro Döner u. Pizza Bilal Sakallah,3.5,25.935041221606127
945,Konfuzius Tee Kultur Garten,3.5,235.7983659472925
946,Star Pizza,5.0,346.32910257462584
947,King Pizza,4.0,497.3147890339885
948,Café am Rabet,3.5,499.0225740614457
949,Gustav H.,5.0,455.7341381279584
950,Asian House,3.0,224.2116967476286
951,Chizenga Afrikanisches Haus,5.0,96.87135187762502
952,Globus Döner,4.5,458.30838284006825
953,Zu Spät,4.0,151.712701758046
954,Kulturcafé Knicklicht,5.0,296.34171668928735
955,Reudnitzgrill,5.0,423.38870893616206
956,Substanz,4.0,337.0362236102442
957,Star Pizza,5.0,238.3392660506725
958,Bernhard Stuben,4.0,513.4440605869647
959,Konfuzius Tee Kultur Garten,3.5,284.74577742649893
960,Bistro Ari,5.0,357.89572609491563
961,Bistro Dubai,5.0,649.3840609581601
962,Hopfenspeicher,4.0,517.9315390860847
963,Reudnitz Terrassen,3.0,517.1308554551172
964,Bistro Döner u. Pizza Bilal Sakallah,3.5,486.0379969703059
965,Bistro Altun,3.5,36.816568612756505
966,Chinarestaurant Chinapfanne,4.0,9.612253706346246
967,China Restaurant WOK,0.0,179.07866495327855
968,Gaststätte Grüne Aue,3.5,209.05083515679198
969,Cafe zur Alten Anlage,0.0,599.8323040364402
970,Café Versorgung,3.0,56.49158639182652
971,Bi Ba Bo,4.5,239.7091619323212
972,Chinabrenner,4.0,499.9823239403845
973,Mørtelwerk,4.0,403.1703654792966
974,Bistro Diablo,0.0,351.2991106978331
975,Am Kanal,0.0,591.5224877308664
976,Mørtelwerk,4.0,129.76695305492026
977,Café Versorgung,3.0,368.81461749106893
978,McDonald's,4.0,392.88845514637507
979,Pizza-Turm,4.0,515.5257145033145
980,Bistro Diablo,0.0,455.1392603308786
981,Pizzeria Cortigiano,4.5,37.603456287805024
982,Asia Bistro Kavimi,4.0,563.1072360199495
983,Café & Restaurant Südkampfbahn,0.0,420.2438048779291
984,Zum Rosengarten,4.5,109.63077016168995
985,Futterkiste Südost,3.0,669.6312859935628
986,Restaurant Regenbogen & IL 62,3.5,464.0537886214998
987,Maharani,5.0,212.49602789271657
988,Green Soul,4.0,137.52839537012895
989,Ruenthai Zum Fass - Leipzigs erster Altbierkeller,4.0,32.544905778641144
990,Franz Morish Kaffeerösterei,5.0,493.1782510009709
991,Hong Kong,4.0,471.8697478762489
992,Besuto Sushi,4.0,135.7053931396288
993,Trattoria Anna Rosa,3.5,452.0658572883651
994,Café GrüneTomate,3.0,155.144533134681
995,WORLD OF PIZZA -City,3.0,93.3610393001597
996,Uno Pizza Service,4.0,423.4584863192564
997,Subway,5.0,53.24207817067262
998,Hopfenspeicher,4.0,498.14065499476055
999,Gustav H.,5.0,444.78722101674333
1000,Mercure Leipzig am Johannisplatz,3.5,578.8802754869457
1001,Leipziger Brauhaus zu Reudnitz,3.0,440.6528250070003
1002,Franz Morish Kaffeerösterei,5.0,64.0430762374606
1003,Miss Hanoi,4.5,408.0741074589345
1004,Mercure Leipzig am Johannisplatz,3.5,32.04968122287125
1005,Trattoria Amici,4.0,361.2171841841541
1006,Café im Grassi,4.0,218.4520071667007
1007,Caffeeshop Leipzig Bar Italiano,5.0,307.19970752409444
1008,Zunftkeller,3.5,495.63083072683605
1009,Rostbratwurstgrill,4.0,257.62823059237087
1010,Knossis-Palace,5.0,425.445314136902
1011,Uno Pizza Service,4.0,306.8425089010861
1012,Ruenthai Zum Fass - Leipzigs erster Altbierkeller,4.0,534.6112766044047
1013,Hotel Radisson,4.0,585.1367507432809
1014,Aries,4.0,408.49897770954436
1015,Trattoria Anna Rosa,3.5,403.54203310478323
1016,Cafe Eco,4.0,535.6908289442804
1017,Prinz Döner Kebab,4.0,639.939244677694
1018,King Pizza,4.0,647.1103793039633
1019,Grillhaus Orient,3.0,365.43124273577695
1020,Anatolien,4.0,33.79632357457783
1021,Tito,4.0,331.9046588165927
1022,Restaurant Leipziger Hof,3.0,311.1208182968138
1023,Mr. Wok Asia Bistro,5.0,491.3996973163121
1024,Studio 3 im Listhaus,4.5,479.40219557635805
1025,Café am Rabet,3.5,389.9103746701164
1026,Hot Pizza,5.0,471.0464681510983
1027,African Point Bar & Imbiss,5.0,504.188839006877
1028,Tattoo-Cafe,3.0,164.61273872287012
1029,Brothers Cafe & Bäckerei,4.0,293.2497893919882
1030,Cafe Maxim Restaurant,5.0,362.1890117764274
1031,Mr. Wok Asia Bistro,5.0,285.68122980817975
1032,Tito,4.0,269.5722320015829
1033,African Point Bar & Imbiss,5.0,334.92158760021675
1034,Restaurant Leipziger Hof,3.0,285.0766579764898
1035,Anatolien,4.0,551.2450735421846
1036,Bistro Syrien,4.0,459.01078595811333
1037,Kune,4.0,448.71806592801596
1038,KuApo Die Kulturapotheke,5.0,379.2355392753105
1039,Espresso Zack Zack,5.0,380.37897128508297
1040,Hit Pizza Express,4.0,541.9719847535308
1041,Pizzeria Gasse,4.0,684.6804535240283
1042,Peking Bistro,3.0,596.28002467149
1043,Drei Kastanien,3.0,484.2302808151209
1044,Prellbock,4.0,225.59028381672846
1045,Mai-Tai,4.5,306.4218321583922
1046,Was Kost Das?,4.0,252.92903977337153
1047,Die Zwanzig,4.0,376.10705051687006
1048,MAM MAM,5.0,670.4245600442583
1049,Freddy Fresh Pizza,4.5,382.1576495291858
1050,Jimmy Orpheus Cafe.Bar,4.0,363.554197437624
1051,Maza Pita,4.0,416.8783946438695
1052,Ristorante da Vito - Leipizg,2.5,150.53611459882993
1053,THISEAS,5.0,497.3804280836351
1054,Heimathafen  Kö,3.0,81.6736074483674
1055,Sancho Pancha,3.5,447.06955477941835
1056,Kim Quy,4.0,360.2078891363703
1057,RöstGut,5.0,435.1546140291801
1058,Subway,4.0,385.5015818981905
1059,Bäckerei und Café Back & Snack,3.0,475.4126801148433
1060,Gaststätte Weinberggärten,4.5,350.2401397428493
1061,Gaststätte Gut Holz,4.5,279.79568793333823
1062,S1 Vinyl & Kaffee,5.0,28.570977670389325
1063,Am Wasserschloss,5.0,416.44842815004574
1064,Bajwas Pizza Service,4.0,379.65773572455447
1065,Am Wasserschloß,4.0,365.27909917376246
1066,Gasthaus & Gosebrauerei Bayerischer Bahnhof,4.0,150.98167031416529
1067,Tamarind,4.5,177.97192478098813
1068,Café Cantona,4.0,276.65148776574864
1069,Da Salvo,4.5,354.4593424612481
1070,Gaststätte Beyerhaus,3.5,443.78491718304304
1071,China White,4.0,478.54844527891885
1072,Huong Duc,4.0,410.64238875222776
1073,Cafe Eco,4.0,288.74388292321083
1074,Amor,4.5,504.3689286767544
1075,Shiki Two,3.0,212.96870963336156
1076,Pholosophy - vietnamese eatery & sushi,3.5,501.7108633505423
1077,Restaurant Michaelis,3.5,429.4742651463683
1078,Mifune,4.0,526.7594321805072
1079,CoCo Bistro,5.0,497.1720615000779
1080,World Of Video,5.0,255.8958272369554
1081,Chinahaus-Leipzig,1.0,184.95524379597762
1082,Restaurant Troja,2.5,91.44405504296151
1083,Bäckerei-Konditorei-Cafè Friedemann,5.0,476.24357695859453
1084,Sakura Lieferservice,4.5,478.08806486267304
1085,Soupbar Summarum,3.5,518.6230842484108
1086,Volkshaus Gastronomie,3.0,567.2139022634907
1087,Kleine Träumerei,4.5,510.9549495575136
1088,Hexenkessel,3.5,397.2229913624341
1089,Amor,4.5,521.7757598775814
1090,LALA,2.0,398.7935781434555
1091,Pension Großmann,1.0,478.1132810218981
1092,Kneipencafe Orange,3.0,639.6524612937949
1093,Lulu Lottenstein,4.0,9.313535153482295
1094,Acapulco,4.0,105.44293197789322
1095,Meetfreude,4.0,233.64539379566963
1096,Gaststätte Pata Negra,4.0,116.84150131173772
1097,Olive Tree,4.0,142.59539575900948
1098,Platzhirsch,5.0,229.03665149773127
1099,Gaststätte Kollektiv,4.0,268.89955297539564
1100,El-Amir,4.5,64.27999049183678
1101,Rote Soße,4.0,100.52506597811536
1102,McCormacks,4.5,113.20303419773565
1103,Mokkaflip,5.0,104.52311511862857
1104,Barfly,4.0,152.2951149025605
1105,Maître,4.0,151.22493251303658
1106,Killiwilly Irish Pub,4.0,93.66174071710438
1107,Hotel Markgraf Leipzig,4.5,153.25599108805963
1108,La Strada,3.0,22.566374613981477
1109,Café Puschkin,3.5,306.447745546687
1110,shady Elwan,3.5,208.862293243727
1111,Safran,3.5,117.1778105573368
1112,Restaurant Mona Lisa,4.5,388.5553773192149
1113,L'Angolo d'Italia,3.5,84.7932483766689
1114,La Romantica,4.0,273.4603757924516
1115,Yoko Sushi,3.5,405.7517871950845
1116,Orpheus,4.5,494.4982228676304
1117,Café Grundmann,4.0,281.86888552748474
1118,Ganesha Indische Restaurant,4.0,379.1557445345042
1119,Restaurant Michaelis,3.5,436.78962948498014
1120,Volkshaus Gastronomie,3.0,291.50772881599465
1121,Noels Ballroom,4.5,428.39854791259603
1122,La Cosita,3.5,275.73693387631937
1123,Karli68,3.5,235.69597538460923
1124,Kebaphaus Istanbul,3.5,28.584077878089932
1125,Kneipencafe Orange,3.0,153.0122056573287
1126,Bebopalula,4.5,251.50277030511046
1127,Mr. Thong,5.0,393.073469071498
1128,Asia Imbiss Asiatische Spezialität,5.0,418.3330414481451
1129,Schenkendorfer Eck,4.0,363.5411964493089
1130,Shams,4.0,544.2390935973184
1131,Chillino,1.0,251.3002554997401
1132,Bittus Pizza Express,5.0,359.6353345862258
1133,Asia Bistro Mr.Wok,1.5,486.76483408419205
1134,Pension Großmann,1.0,471.4659660682245
1135,Stückwerk,3.0,409.963322000973
1136,Meetfreude,4.0,398.3430965782273
1137,Gaststätte Kollektiv,4.0,415.82424178998826
1138,Mein Liebes Frollein,4.5,635.4681011865716
1139,Cà Pháo,5.0,613.3336997557136
1140,Shams,4.0,46.22628204512129
1141,Yoko Sushi,3.5,268.0884741476386
1142,Gaststätte Pata Negra,4.0,472.38135738821285
1143,Ganesha Indische Restaurant,4.0,339.8158480330034
1144,Noels Ballroom,4.5,282.8510129567688
1145,Lulu Lottenstein,4.0,586.3791197207279
1146,Café Puschkin,3.5,405.1799419971565
1147,Fela,4.0,443.68733785345233
1148,Asia Imbiss Asiatische Spezialität,5.0,165.8068611200073
1149,Asia Bistro Mr.Wok,1.5,118.78145723642116
1150,Maître,4.0,476.40475199919575
1151,Mr. Thong,5.0,338.0171970644805
1152,Symbiose,4.5,596.9885400536226
1153,Barfly,4.0,446.76716758387886
1154,McCormacks,4.5,478.6915827565769
1155,El-Amir,4.5,598.8422201501439
1156,Efes- Grillhaus,3.5,476.79918011351117
1157,Shahia,4.5,489.3274060412116
1158,Shakunda,4.0,504.21184834039616
1159,La Cosita,3.5,379.1763582957372
1160,China-Tai Asiatische Spezialitäten,3.0,366.13484486975415
1161,Bistro Dilan,4.0,445.8352402931562
1162,Asia Wok,4.0,611.7047062379671
1163,Karli68,3.5,430.5716797999623
1164,Bebopalula,4.5,424.99650366564515
1165,L'Angolo d'Italia,3.5,526.1140987183118
1166,Schenkendorfer Eck,4.0,412.60353135398753
1167,Pascha Kebab Pizza Haus,5.0,442.77432066562136
1168,Bittus Pizza Express,5.0,418.4698446377463
1169,La Strada,3.0,575.3711530818763
