,name,rating,distance
490,Meteora Grill Gyros+Pita,-1,394
491,Peking Palast,-1,302
492,Pizzeria Gasse,-1,446
493,Gaststätte Volksgarten,-1,446
494,Bozova Kebab Haus,-1,468
495,Chulo,7.4,138
496,Bistro Ischtar,-1,209
497,Bistro Petra,-1,325
498,Kleine Leckerei Cafe & Bistro,-1,400
499,Drei Kastanien,-1,406
500,Fratelli Pastabar,-1,465
501,Mai Tai,7.6,120
502,Jimmy Orpheus Cafe & Bar,8.3,158
503,Gaststätte Bauhütte,-1,86
504,Fratelli Pastabar,-1,169
505,Dreßler Cornelia und Wein & Schokolade,-1,260
506,Bistro Petra,-1,310
507,Kleine Leckerei Cafe & Bistro,-1,331
508,Bistro Ischtar,-1,424
509,Prellbock das Restaurant,6.0,502
510,Croissanterie Leipzig,-1,507
511,Bistro Alanya Eiscafe,-1,21
512,Jedermann,-1,80
513,Pizza Lab,-1,339
514,Restaurant Little Saigon,-1,452
515,Olea,8.1,323
516,Gambrinus Gaststätte mit Biergarten,-1,326
517,SCHNIZZ Leipzig-West,5.7,363
518,Kleopatra,-1,448
519,Pan,-1,482
520,Zum Wursterben,-1,492
521,B10,8.0,278
522,Kapital Cafe der Galerie,7.7,331
523,Viet Village,7.4,335
524,Koy,-1,229
525,Violino,-1,325
526,Mama Robert,-1,362
527,Café Alibi,-1,392
528,Chito Gvrito,-1,419
529,Localino - Italienisches Restaurant,-1,464
530,Volle Rolle,7.9,17
531,Chumumi,7.1,74
532,Quan Xanh Vietnamese Vegan Food,-1,34
533,Meins,7.5,182
534,Suppentempel,-1,79
535,Bistro Sindbad,-1,94
536,Beit Giddi,-1,104
537,Café Kater,8.2,252
538,Dipasquale,8.3,272
539,Café Oink,-1,145
540,Casablanca,7.4,269
541,AKKO Hummus Bar,7.1,251
542,Don Kichot,7.2,266
543,Beard Brothers feinen Hot Dog Company,7.8,305
544,Domino's Pizza Leipzig Plagwitz,-1,165
545,Patio del Sol,-1,172
546,El Arabi,6.4,226
547,Le Petit Franz,7.9,352
