,latitude,longitude,free_bikes,station_id
68,51.32466,12.3733,2,6aca45251ef1ec8bca03f05aa3a332ec
69,51.32059,12.37861,0,1d0aff89d7f139aa89f0d1f3d68ab89e
70,51.31769,12.36867,1,29dda8b44a2f33b1fe7f8f309c2d5103
71,51.31168,12.37235,2,4f0258e098a518c169c7a7b2e05418ce
72,51.36638,12.36625,1,d387cadb5d863c0faa50dff63b367025
73,51.32904,12.32808,4,3f2494716b5a993f295333c5ed002d79
74,51.33665,12.37481,6,15bc2fc4c2b446a6ca77564c2c95f90f
75,51.323876,12.321425,0,7f687e15aa2dddf84768848f0da9a975
76,51.300885,12.396634,1,f0332ddbc095cac00f4e1c0e95d56cce
77,51.344114,12.383013,10,889445c0269aeaa4eed138f0eb43d66d
